	lines	label
2548	要是您心里不喜欢做什么事，要顺着这感觉。我去拦阻他们来到这里，就说您觉得不自在。	SDY
1888	莫当我在恭维；因为从你处我能有什么升迁可指望，你除侠义外别无进益能饱食暖衣？为什么要向穷人阿谀？让甜嘴蜜舌去舔荒谬的权势吧，让甘愿的膝骨折节去向谄媚开得财源处长跪。你听到没有？自从我灵魂的堂奥能自定去取，有知人的明鉴以来，便选你作金石交；因为你像是那样个人，遭逢到坎坷，能岿然屹立不移易；一介男儿，以同样感谢的心情，接受命运的打击和奖赏；有些人感情、理智调和得这般好，多幸福，命运神的手指不能笛子般将他们随意吹弄成她爱的曲调。什么人只要他不是激情的奴隶，我便会在心中珍藏他，是啊，在内心深处，好像我对你这样。话说得太多了。今晚上要在君王御前演出戏；其中有一景很像先王父捐生死难的情景，正如我对你曾说过：当你见到那剧景上演的时节，要请集中你灵魂全部的关注，观察我叔父：要是他深藏的罪恶在演出一段台词的时候不暴露，我们所见的准是个可憎的恶鬼，而我的思想定必乌黑一团糟，如同乌尔根的锻冶场。细心着意；因为我要把眼睛盯在他脸上，事后我们把两人的判断合起来，去评定他那副形相。	SDY
245	殿下，这可是用不着鬼魂从坟里来告诉我们啊。	BZL
117	殿下，我说了；可是它并不回答。我似乎看见它终于抬起头来，一举一动显得它分明是就要开口说话了：可是报晓的公鸡就大声啼了，一听见这个声音，它就一缩，马上就隐去不见了。	BZL
2613	啊，我死了，霍瑞旭；强烈的毒药压倒了我的元阳：我等不及听来自英格兰的消息；可是我预言福丁勃拉思将膺选被拥戴为王：他有我临终的推举；告诉他这经过情形，事不拘大小，激得我这么做。余外的只是沉默。	SDY
1415	见到殿下的父王。	SDY
658	活该我处处碰壁，事事遭殃，重重心愿变成了重重魔障，	BZL
13511	契约纸不是羊皮做的吗？	ZSH
2245	我的校尉们何在？要他们守住门。发生了什么事？	SDY
692	殿下，请允许我说一句话。	BZL
145	哈姆雷特对你要好，乱献殷勤，要认清那只是赶时髦，做感情游戏；只是青春里出现的一朵紫罗兰，开得早，谢得快，甜甜的，可不能持久；只供一刹那赏乐的一阵花香：如此而已。	BZL
531	不大肯说话，可是我们问什么他都肯回答。	BZL
2389	又是一个：那个为什么不会是个讼师的髑髅呢？他说话机灵诡怪，笔里藏刀，他的案件，他的租地法，他的机谋策略，如今都到了哪里去？为什么现在他容许这粗鲁汉子用柄肮脏的铁锹乱揍他的脑瓜，而不跟他讲要告他的凶殴罪呢？哼！这家伙当年也许是个收罗田产的大老板，订立押单，设置欠据，要求双保，把人家有限制的嗣产变成他无条件的不动产：他这样把他那精明的脑壳里装满了漂亮的泥，是否就算把人家有限制的嗣产变成了他无条件的私产？他的保人们是否不再替他收购的产业作保了，而且是双保，只肯凭那一纸狗牙骑缝的分剖合同答话？他的土地执业契据多到连这只盒子都装不下；他这执业人自己就没有份了吗，嘿？	SDY
15241	他们来得正好。	ZSH
2529	我是说，殿下，您要是出场比武的话。	SDY
5610	鬼魂重上。	ZSH
15091	要是我不答应呢？	ZSH
15121	我就照这样去回话吗？	ZSH
382	[旁白]这虽然是疯话，却也有条理。——殿下想走到不通风的地方去吗？	BZL
2456	请两位士子——	SDY
993	我跟他相当熟识。他在全法国真算得一宝哪。	BZL
20910	幻想占据了他的头脑，使他不顾一切。	ZSH
8661	原本是乔武统治的雄邦，	ZSH
5311	冒着火焰的熏炙，像恶魔一般，	ZSH
13401	也许是一个朝臣，他会说：“早安，大人！您好，大人！”也许他就是某大人，嘴里称赞某大人的马好，心里却想把它讨了来，你看是不是？	ZSH
2941	第一场　波洛尼厄斯家中的一室	ZSH
1610	说到“接上你的话这么说”，说到“朋友或者士子”。	SDY
5441	凶恶的剑锋上下四方挥舞，	ZSH
2415	怎么“奇怪”法？	SDY
1576	啊哈！你也说？你在那里吗，老好人。来吧：你们听见地窖里这朋友：答应发个誓。	SDY
714	我对你仍然如此，就凭我这双扒手的爪子起誓！	BZL
15910	啊！不要为我担心。我耽搁得太久了；可是父亲来了。	ZSH
4341	一所很大的牢狱，里面有许多监房、囚室、地牢；丹麦是其中最坏的一间。	ZSH
96	我很高兴看见你。（对贝纳陀）你早啊，你好。——可是你究竟为什么离开了威登堡呢？	BZL
3051	老爷，那是会损害他的名誉的。	ZSH
2039	“马上”说来还容易。去吧，朋友们。现在是深夜里鬼魅横行的时刻，坟墓喷张着大口，地狱向世界喷吐出毒气：我现在喝得下热血，干得出那样的惨事，白日的天光所不敢正视。住口！要去见母亲。啊，我的心，别失了天性；不要叫尼禄的灵魂钻进我平静的胸怀；我不妨残酷，可不要丧失了天性；我要对她施舌剑，但不得用真刀；在这件事上，我心口不可合拍；不论她怎样被我的言语所惩创，我灵魂决不会用行动将她毁伤！	SDY
674	心黑，手巧，药也灵，时候也方便哩；机会也跟我串通，没有人看见哩；毒药啊，半夜里采毒草、炼得你毒透了，念三遍黑开娣恶咒、咒得你恶透了，现在就发挥你魔力，使出你凶劲吧。	BZL
6981	不，我现在也没有那个意思。[向波洛尼厄斯]	ZSH
14571	在这样重重诡计的包围之中，我的脑筋不等我定下心来思索，就开始活动起来了；我坐下来另外写了一通国书，字迹清清楚楚。从前我曾经抱着跟我们那些政治家们同样的意见，认为字体端正是一件有失体面的事，总是想竭力忘记这一种技能，可是现在它却对我有了大大的用处。你知道我写些什么话吗？	ZSH
5731	不要让她僭窃神明的宝座；	ZSH
1962	您太尖刻了，殿下，您太尖刻了。	SDY
6021	哎哟，朋友，还要客气得多哩！要是照每一个应得的名分对待他，那么谁逃得了一顿鞭子？照你自己的名誉地位对待他们；他们越是不配受这样的待遇，越可以显出你的谦虚有礼。领他们进去。	ZSH
431	扮演国王的会受到我的欢迎：他这位陛下会受到我的致敬；冒险的骑士可以舞他的剑，使他的盾牌；情人不至于白叹气；阴阳怪气人不至于下不了场；小丑可以叫那些	BZL
26010	殿下，这样一句话是用不着什么鬼魂从坟墓里出来告诉我们的。	ZSH
2030	它的背部倒像一只伶鼬。	SDY
262	还不算，要按着我的剑。	BZL
5371	甲　伶	ZSH
15061	殿下，挂机就是剑柄上的钩子。	ZSH
2190	步步跟住他；劝诱他赶快上船；莫迟延；我要他今夜就离开这里：就去！因为要依靠这件事的一切都已经布置就绪：请你们，赶快。英格兰国王，你要是把我的垂顾当作一回事——我这威棱你该知，既然丹麦的雄剑使你那创伤还皮开肉绽露殷红，你内心的畏惧自愿表忠诚——你就不能去冷淡我们的敕旨；我在所有的文书里已一致详明，差你把哈姆雷特立即去处死。就照办，英格兰国王；因为他犹如燃烧我血液的瘟热，你务必医治好：非得我知道已治好，不管我命运如何，我决不会欢笑。	SDY
1085	为什么他比别人要耐久？	BZL
1488	什么时候了？	SDY
669	要是我看见你和你的情人耍你们的傀儡把戏，我也会替你们说明情节。	BZL
380	我是说殿下读到些什么。	BZL
13891	这就是他！	ZSH
1592	[同下。	SDY
140	如果它出现，再借我父王的形貌，哪怕是地狱张开嘴叫我别作声，我还是要对它说话。我请求你们，要是至今还没有把这件事外传，就让它仍然封锁在你们的沉默里：无论今晚上再发生别的什么事，请也就让心中有数，嘴上不说。我会报答你们的情谊。再见吧。就在平台上，十一点十二点之间，我来找你们。	BZL
776	哎呀，究竟是什么事	BZL
807	噢，那么就抛掉坏的一半，留下另外那一半，干净些过日子。安息吧；可不要到我叔父的床上去。即使你不大干净，也学学贞洁吧。习气那个怪物，虽然是魔鬼会吞掉一切的羞耻心，也会做天使，把日积月累的美德善行薰陶成自然而然而令人安之若素的家常便饭。只要忍过了今夜，下一次节制也就并不太难，再下一次自然会更加容易，习惯简直会改变天生的本性，它神通广大，不但会制伏魔鬼而且会赶走他。我再说一声，安息吧；哪一天你愿意得到上天的祝福了，我也会求你祝福我。至于他老人家，[指波乐纽斯。我抱憾杀了他；可也是天意如此，借他一死来罚我，借我手来罚他，我当了执行天意的工具和使者。我把他先安顿好了，再来担当我把他杀死的罪名。好，安息吧。我出于一番好意，不得不残忍。	BZL
4881	那班戏子们已经到这儿来了，殿下。	ZSH
279	你如要做得非常之聪明，雷纳尔陀，你不妨未找他、先去打听打听他的行为。	BZL
1218	请你原谅，先生。我对你不住，你是个堂堂男子，就请你原谅。在场的各位都知道。你也该听说了，我是怎样害够了神经错乱。我的所作所为，有什么地方伤害你感情和荣誉，激起你憎恨的，我声明是发疯造成的。哈姆雷特会侮辱莱阿替斯？那才不会；要是哈姆雷特迷失了本来面目。由不得自己的时候得罪了莱阿替斯，那么哈姆雷特没有做，不能承认。那么谁干的？是他的疯狂。要这样，哈姆雷特就是受到损害的一方面；他的疯狂就是他的敌人。先生，当着在场的各位面前，让我郑重否认我存心得罪你，请大度包涵，只当我隔墙放箭，误伤了我的兄弟。	BZL
1665	是个忠诚的，且光荣可敬的人。	SDY
12210	凭着我的生命起誓，殿下，这是真的，我们认为按照我们的责任，应该让您知道这件事。	ZSH
206	我听。	BZL
730	们并不能叫它开口。哼，活见鬼，你们以为我比一管笛子还容易吹弄吗？随你们叫我是什么乐器吧，你们只能撩拨我，可不能玩弄我。波乐纽斯上。上帝祝福你，先生！	BZL
13381	的颚骨似的！它也许是一个政客的头颅，现在却让这蠢货把它丢来踢去；也许他生前是个偷天换日的好手，你看是不是？	ZSH
872	（哈姆雷特及卫士下。	BZL
449	这也不太稀奇；要知道我的叔父竟是丹麦国王了，而且当我的父亲在世的时候、还一直对他做鬼脸的那些人，如今部愿意出二十块、四十块、五十块、一百块杜开来买他	BZL
2291	[水夫数人上。	SDY
6001	很好，其余的部分等会儿再念给我听吧。大人，请您去找一处好好的地方安顿这一班伶人。听着，他们是不可怠慢的，因为他们是这一个时代的缩影；宁可在死后得到一首恶劣的墓铭，不要在生前受他们一场刻毒的讥讽。	ZSH
12491	你已经用你同情的耳朵，听见我告诉你那杀死令尊的人，也在图谋我的生命；现在你必须明白我的无罪，并且把我当作你的一个心腹的友人了。	ZSH
6710	我也听人家这样说过，倒有几分相信。可是瞧，清晨披着赤褐色的外衣，已经踏着那边东方高山上的露水走过来了。我们也可以下班了。照我的意思，我们应该把我们今夜看见的事情告诉年轻的哈姆雷特；因为凭着我的生命起誓，这一个鬼魂虽然对我们不发一言，但见了哈姆雷特一定有话要说。你们以为按照我们的忠心和责任说起来，是不是应当让他知道这件事情？	ZSH
1131	不变的墓碑，在莱阿替斯听来，知道指的是要杀哈姆雷特以志纪念。第二场城堡中大厅。哈姆雷特与霍拉旭上。	BZL
1197	中，他赢的回数不会多出三回；十二比九，让殿下三著。只要殿下慨然答应，比赛就可以立刻进行。	BZL
127	脸色是苍白还是通红？	BZL
18710	真的？我没有听见；那么鬼魂出现的时候快要到了。[内喇叭奏花腔及鸣炮声]	ZSH
15131	您就照这个意思去说，随便您再加上一些什么辞藻都行。	ZSH
21710	鬼魂及哈姆雷特上。	ZSH
2338	[王后上。	SDY
2356	别那样，你听我说，掘坟老儿。	SDY
1176	殿下的意思是？——	BZL
1927	他会告诉我们这场表演是什么意思吗？	SDY
15331	国王、王后、雷欧提斯、众贵族、奥斯里克及侍从等持钝剑等上。	ZSH
504	代替了原先的冠冕；作为袍服，在她枯瘦的生育过多的腰身裹一条惊惶中随手抓起的毛毯——伤心惨目，谁看了不会含毒水唾骂命运作弄人，万恶不赦？	BZL
2255	平静些，好赉候底施。	SDY
861	上天去了，打发人到天上去看吧。万一你的使者在那边找不到他，你自己到另外那一边去找他吧。可是，当然了，要是你一个月内找不到他，你上楼梯，进走廊的时候，鼻子一定会闻到他了。	BZL
13291	正是；不大劳动的手，它的感觉要比较灵敏一些。	ZSH
778	看这儿，这一幅图画，再看这一幅，这兄弟二人的两幅写真的画像。这一副面貌有多么高雅的丰采：一头海庇亮鬈发，头额是乔武的，	BZL
6941	奏丹麦进行曲，喇叭奏花腔、国王、王后、波洛尼厄斯、奥菲利娅、罗森格兰兹、吉尔登斯吞及余人等上。	ZSH
389	说；舞台上可使波乐纽斯在哈姆雷特气势逼人初步步倒退。罗森克兰兹与纪尔顿斯丹上。	BZL
816	第四幕第一场城堡中一室。国王、王后、罗森克兰兹及纪尔顿斯丹上。	BZL
920	嗅错了足迹，还叫得这么高兴！你们找反了方向，造反的丹麦狗！	BZL
1477	我来教你吧：把你自己当娃娃，你竟把这些献出当真正的付款，它们可不是纹银。显出你自己多值些钱吧；否则——且不叫这句话跑伤气，这么说——你显出自己是傻瓜。	SDY
5221	像黑夜一般阴森而恐怖；	ZSH
17710	而且，父亲，他差不多用尽一切指天誓日的神圣的盟约，证实他的言语。	ZSH
300	涂，还以为就是如此。	BZL
2424	是个婊子养的疯子的：您道是谁的？	SDY
10491	殿下，您必须告诉我们那尸体在什么地方，然后跟我们见王上去。	ZSH
1923	凭圣处女，这是躲在暗角里作恶；意思是干坏事。	SDY
14821	可是对于像我这样的体质，我觉得这一种天气却是闷热得厉害。	ZSH
11241	啊，奥菲利娅！	ZSH
253	过”并捉，可能是因为传说是他从爱尔兰把蛇驱走的（哈姆雷特亡父说是被蛇咬死的），似更圆满。它是个诚实鬼，我可以告诉你们。你们想知道他和我谈了什么话，却只好清你们暂且忍耐了。好朋友，你们既都是朋友，读书人，军人，就请答应我一个小小的请求。	BZL
1881	叫伶工们赶快。[朴罗纽司下。你们两位能不能帮着催他们？	SDY
936	除开我自己的意志，谁也休想！至于我的气力，我不想浪费，定叫它事半功倍。	BZL
2108	“错乱的神经？”我脉搏跟你的震动得同样平和，奏着同样健康的乐调；我说的并不是疯话；不信，尽不妨来试验，我可以把话来重新说一遍，疯狂就不免要跳脱。母亲，为顾念天恩，莫把自欺的油膏涂抹你的灵魂，说是我的疯狂，非你的罪恶，在说话；这只能使脓疮多长上几层外皮，腐恶的病毒却依然在里头溃烂，蔓延滋长而不见。对上天去自首；忏悔过去，避免在未来再去犯，不要对蒙茸的莠草再去施粪肥，使它们更秽茂。恕我这一番峻德；在这样肥得发喘的腐败的年头，修德倒反须得向罪恶去请罪，嗳也，得鞠躬请准，去谋求他的好。	SDY
14841	请您不要忘记了您的帽子。[促奥斯里克戴上帽子]	ZSH
7	正是。	BZL
2057	[自内]母亲，母亲，母亲！	SDY
6410	它正要说话的时候，鸡就啼了。	ZSH
141	自当对殿下尽忠。	BZL
3601	、考尼律斯同下]	ZSH
830	你们可不要相信。	BZL
1260	把他们分开！他们动气了！	BZL
13261	在我看来太无意义。	ZSH
2107	这是你脑海中凭空臆造的楼台；错乱的神经最擅于凌虚驾空作此无垠的幻象。	SDY
13461	挖松泥土深深掘下，	ZSH
8941	她这样说：您的行为使她非常惊愕。	ZSH
214	天啊！	BZL
25910	全丹麦从来不曾有哪一个奸贼不是一个十足的坏人。	ZSH
790	哎呀，他疯了！	BZL
139	我保证会。	BZL
1599	“对他也有点认识”；可以说，“但不熟：要是我说的就是他，他可真胡闹；嗜好些什么什么”：随你便给他编造些谎话；凭圣处女，可别太糟了，叫他丧失掉名誉；要注意到那个；但不妨说些戏耍、胡闹的错失，年轻人所经常犯的放纵不羁，不固守绳墨。	SDY
1848	你美丽吗？	SDY
350	比亚当日，用起来还很“雅致”（吉特立其）。就悒郁寡欢，于是乎饭也不吃了。于是乎觉也不睡了，于是乎惟悴了，于是乎神思恍惚了，步步下降，直弄到发疯了，如今就胡言乱语，真叫大家都悲痛哩。	BZL
5741	拆毁她的车轮，把它滚下神山，	ZSH
1720	坐牢，殿下？	SDY
285	对了，喝酒，比剑，赌咒，吵架，搞女人，也都可以说。	BZL
2269	哎也，现在你说话才像个好孩儿，像位真正的士子。对于你父亲的死我丝毫无罪，而且以莫大的同情感觉到悲痛，昭昭的事实定能穿透你的明断，如白日天光照眼明。	SDY
324	心愿如此！（罗森克兰兹、纪尔顿斯丹及若干侍从下。波乐纽斯上。	BZL
2393	以为契据是安全可靠的人也不过是牛和羊罢了。我跟这汉子谈谈。这是谁的坟，喂？	SDY
2616	你们要看些什么？若是看惊心怵目事，不要再去找。	SDY
6411	我的好殿下，您这许多天来贵体安好吗？	ZSH
10751	[向若干侍从]	ZSH
4441	没有的事，我不愿把你们当作我的仆人一样看待；老实对你们说吧，在我旁边侍候我的人太多啦。可是，凭着我们多年的交情，老实告诉我，你们到艾尔西诺来有什么贵干？	ZSH
13591	你在里头，又说是你的，这就是“在里头胡闹”。因为挖坟是为死人，不是为会蹦会跳的活人，所以说你胡闹。	ZSH
711	她想在殿下就寝以前，同殿下在她的房间里谈谈。	BZL
338	请多讲事实，少讲究文采。	BZL
10401	它本来就是泥土，我仍旧让它回到泥土里去。	ZSH
1907	我意思是，我的头靠着你的腿膝。	SDY
5291	照亮敌人去肆行他们的杀戮，	ZSH
8821	他回去以后，非常不舒服。	ZSH
1078	来得可离奇啊，人家说。	BZL
11181	我负疚的灵魂惴惴惊惶，	ZSH
18010	第四场　露台	ZSH
1687	老实，殿下？	SDY
10541	国王上，侍从后随。	ZSH
587	噢，要彻头彻尾改正过来！还有你们那些演丑角的，只许念剧本上写下的说白，不要临时添花样。他们中间往往有人就爱在台上自己先笑出来，逗引少数没有头脑的听众也哄笑一番，全不管那时候戏里正好有紧要问题要大家注意哩。这种行径是极端可恶的，也表示这样胡闹的小丑抱了最可鄙的野心。你们去准备吧。	BZL
8311	这个人叫作卢西亚努斯，是那国王的侄子。	ZSH
381	胡说八道，先生；这个刻薄鬼在这儿说：老年人长灰白胡子；脸上到处起皱纹；眼睛里排泄出浓浓的琥珀膏和橡胶糊；头脑十足是胡里胡涂，腿棒永远是摇来摆去。这些话，先生，虽然我坚定不移而明明白白的相信是千真万确的，然而我认为这样子写下来实在是不成体统，因为你自己，先生，也会长到我这样年纪的，只要你能象一只螃蟹一样的越走越倒退回去。	BZL
2591	着你的！[赉候底施伤哈姆雷特；于乱斗中彼此换剑，哈姆雷特伤赉候底施。]	SDY
1919	[唢呐鸣奏。哑剧登场。	SDY
4311	牢狱，殿下！	ZSH
441	佩剑的公子哥儿都怕时髦文人的笔杆，不敢再去老地方光顾了。	BZL
2483	印信怎么盖？	SDY
13021	让我说完。这儿是水；好。这儿站着人；好。要是这个人跑到这个水里，把他自己淹死了，那么，不管他自己愿不愿意，总是他自己跑下去的；你听见了没有？可是要是那水走到他的身上把他淹死了，那就不是他自己把自己淹死；所以，对于他自己的死无罪的人，并没有杀害他自己的生命。	ZSH
530	只是不大自然，有点儿勉强。	BZL
2086	啊也，什么事，只说了个开场，就这么雷鸣谷应？	SDY
23410	啊，我的预感果然是真的！我的叔父！	ZSH
119	敢对殿下说，这是千真万确的；我们一致认为，责任所在，该让殿下知道这件事。	BZL
192	它还在招手。走吧；我就跟你去。	BZL
542	莪菲丽亚，你就在这儿走走。——陛下，我们就去躲着吧。——你读这本书；你表示正在做功课，独自个在这儿	BZL
5111	甲　伶	ZSH
956	他永远不会再回来。白胡须好比雪纷纷，	BZL
9210	霍拉旭、马西勒斯、勃那多同上。	ZSH
2186	[下。	SDY
2115	唉呀，我忘了；事情是这样决定了的。	SDY
1378	我们也深信无疑：祝两位顺遂。现在，赉候底施，你可有什么事？你曾说有请求；要怎样，赉候底施？你不会对丹麦当今请求得有理，而将话白说；什么事，赉候底施，你有所要求，我不会给你满足？头脑不会跟心儿更加相一致，这只手不会跟这张嘴起到作用，比较丹麦的当今对于你父亲。你有何要求，赉候底施？	SDY
912	真是，嘿，不用赌咒了，我就了了它！〔唱〕我的天，我的地，哎呀，真不帕难为情！小伙子总毛脚毛手，可不能怪别人。你把我弄到手以前	BZL
1800	您看，他可不脸色都变了，眼泪在直流。请你，莫再讲了吧。	SDY
6311	亲爱的格特鲁德，你也暂时离开我们；因为我们已经暗中差人去唤哈姆雷特到这儿来，让他和奥菲利娅见见面，就像他们偶然相遇一般。她的父亲跟我两人将要权充一下密探，躲在可以看见他们，却不能被他们看见的地方，注意他们会面的情形，从他的行为上判断他的疯病究竟是不是因为恋爱上的苦闷。	ZSH
7371	小的在这厢有礼了。	ZSH
2103	什么也没有；要有，我全已见到。	SDY
1911	躺在姑娘的两腿中间倒是个好想法。	SDY
840	一个东西，殿下？	BZL
13161	嗯，你回答了这个问题，我就让你下工。	ZSH
1148	这算是什么国王！	BZL
1805	[朴罗纽司与除甲外之众伶人同下。	SDY
174	真叫是寒风凛冽，砭人肌骨。	BZL
1056	想靠这些牛羊皮做的东西来保有土地的也只是牛羊罢了。我要跟这家伙讲讲话。这是谁的坟呀，喂？	BZL
12341	你可以明白一切；谁是真有罪的，让斧钺加在他的头上吧。请你跟我来。[同下]	ZSH
1957	良心上干净，看了毫无关系：让颈脊上磨伤的劣马去	SDY
24910	霍拉旭及马西勒斯上。	ZSH
2631	我的话冒犯了你，真是非常抱歉；是的，我从心底里抱歉。	ZSH
4091	这些虽然是疯话，却有深意在内。——您要走进避风的地方去吗，殿下？	ZSH
18	再见，正直的军人：谁把你替了下来了？	BZL
4661	不，他们现在已经大非昔比了。	ZSH
8501	王上站起来了！	ZSH
1368	它就像是个有罪的犯人一般，听到可怕的召唤而一惊。我听说公鸡，它是替早晨报晓的号角手，一阵阵啼响它高亢峻峭的喉咙，把白日的神灵唤醒；一经它警告不论在海里火里，在地下或空中，每一个游灵野魅便自会慌忙赶回它的本界；刚才所见的东西便可以证明这句话说得不假。	SDY
1620	再会！[雷那尔铎下。你怎样，莪斐丽亚，什么事？	SDY
158	我把它锁在记忆里，	BZL
1824	很吝于说话，可是我们问到他，却充分回答。	SDY
5631	经过暂时的休止，杀人的暴念	ZSH
18410	现在什么时候了？	ZSH
5081	天晓得，你懂得，“发生了……”大概和这句很像，你去查那原歌的第一节吧。瞧，有人来打断我的谈话了。	ZSH
11831	安静一点，好雷欧提斯。	ZSH
1882	我们去，殿下。[罗撰克兰兹与吉尔腾司登同下。	SDY
1223	准备就是一切，既然一个人留不住他得丢下的任何东西。早一点（或及时）丢下有什么要紧呢？”而没有“随它去吧”。	BZL
17100	都是自己人。	ZSH
8521	陛下怎么样啦？	ZSH
15631	他身体太胖，有些喘不过气来。来，哈姆雷特，把我的手巾拿去，揩干你额上的汗。王后为你饮下这一杯酒，祝你的胜利，哈姆雷特。	ZSH
125	怎么样，它可是皱着眉头？	BZL
1062	踩”“瞎扯”二词。	BZL
480	不，接不下去的。	BZL
1186	我的意思，殿下，是说他有一手好武艺！据大家的称道看来，他这一手本领实在叫谁也比不上。	BZL
1228	陛下，我知道；陛下还照顾了弱的一边。	BZL
9511	他就要来了。请您把他着实教训一顿，对他说他这种狂妄的态度，实在叫人忍无可忍，倘没有娘娘您替他居中回护，王上早已对他大发雷霆了，我就悄悄地躲在这儿。请您对他讲得着力一点。	ZSH
10081	啊！把那坏的一半丢掉，保留那另外的一半，让您的灵魂清净一些。晚安！可是不要上我叔父的床；即使您已经失节，也得勉力学做一个贞节妇人的样子。习惯虽然是一个可以使人失去羞耻的魔鬼，但是它也可以做一个天使，对于勉力为善的人，它会用潜移默化的手段，使他弃恶从善。您要是今天晚上自加抑制，下一次就会觉得这一种自制的功夫并不怎样为难，慢慢地就可以习以为常了；因为习惯简直有一种改变气质的神奇的力量，它可以使魔鬼主宰人类的灵魂，也可以把它从人们心里驱逐出去。让我再向您道一次晚安；当您希望得到上天祝福的时候，我将求您祝福我。至于这一位老人家，[指波洛尼厄斯]	ZSH
4691	什么！是一些童伶吗？谁维持他们的生活？他们的薪工是怎么计算的？他们一到不能唱歌的年龄，就不再继续他们的本行了吗？要是他们攒不了多少钱，长大起来多半还是要做普通戏子的，那时候他们不是要抱怨他们的批评家们从前不该把他们捧得那么高，结果反而妨碍了他们自己的前途吗？	ZSH
205	听我说。	BZL
1194	殿下，吊架就是带钩。	BZL
